term,score,already_in_dictionary
国民投票,6,no
郵送による投票,6,no
アイヌの人たち,6,no
学問,6,no
職業,6,no
教育,6,no
働く,6,no
言論の自由,6,no
平和,6,no
非核三原則,6,no
最高の機関,6,no
国会のみ,6,no
解散がある,6,no
解散がない,6,no
衆議院と参議院,6,no
慎重に審議,6,no
元日,6,no
文化の日,6,no
閣議,6,no
国務大臣,6,no
省庁,6,no
まちがい,6,no
3回,6,no
内閣総理大臣を指名,6,no
選挙で代表者を選ぶ,6,no
世論,6,no
文化的,6,no
5500年前,6,no
たて穴住居,6,no
竪穴住居,6,no
縄文土器,6,no
木の芽,6,no
さけ,6,no
狩り,6,no
福岡県福岡市,6,no
弥生土器,6,no
高床の倉庫,6,no
朝鮮半島,6,no
弥生,6,no
さく,6,no
むら,6,no
争い,6,no
指導者（首長）,6,no
魏志,6,no
むらとの争い,6,no
中国の魏の国,6,no
土偶,6,no
長い期間,6,no
権力や富,6,no
大仙古墳（仁徳陵古墳）,6,no
大きな権力,6,no
手紙,6,no
くに,6,no
大王,6,no
日本橋,6,no
全国の産物,6,no
天下の台所,6,no
人形浄瑠璃,6,no
脚本,6,no
各地の風景,6,no
木版,6,no
大量に,6,no
松尾芭蕉,6,no
俳句,6,no
娯楽や年中行事,6,no
にぎりずしや天ぷら,6,no
新田開発,6,no
伊勢,6,no
杉田玄白,6,no
オランダ語の医学書,6,no
日本地図,6,no
古事記伝,6,no
寺子屋,6,no
町人,6,no
百姓一揆,6,no
ききん,6,no
歌舞伎,6,no
蘭学,6,no
領地,6,no
警備,6,no
きさき,6,no
強い力,6,no
源氏,6,no
平治,6,no
伊豆,6,no
関東,6,no
壇ノ浦の戦い,6,no
将軍,6,no
北条,6,no
てつはう,6,no
集団,6,no
ほうびをもらえなかった,6,no
武士団,6,no
むすめを天皇のきさきにする,6,no
領地をめぐる,6,no
焼け野原,6,no
不景気,6,no
軍人,6,no
ヒトラー,6,no
ポーランド,6,no
ドイツ・イタリア,6,no
イタリア,6,no
勤労動員,6,no
配給制・切符制,6,no
ミッドウェー海戦,6,no
受験の勉強,6,no
教科書,6,no
焼夷弾,6,no
多くの人々の命,6,no
農村へ避難,6,no
満州事変が起こる,6,no
満州国を独立させる,6,no
満州事変,6,no
広島,6,no
下がって,6,no
冷凍,6,no
野菜工場,6,no
ブランド,6,no
国内,6,no
方位じしん,6,no
